index,time,latitude,longitude,depth,mag,place
523,2021-10-31T07:38:04.425Z,10.9014,91.8348,10.0,4.4,"130 km SW of Port Blair, India"
524,2021-10-30T16:29:09.837Z,33.2438,76.7582,10.0,4.2,"27 km SSW of Padam, India"
525,2021-10-26T00:32:08.893Z,33.2123,76.8049,10.0,4.6,"29 km SSW of Padam, India"
527,2021-10-24T05:48:39.663Z,12.9223,92.488,10.0,4.3,"137 km N of Bamboo Flat, India"
528,2021-10-19T00:44:09.237Z,22.5257,92.7906,35.0,4.8,"19 km W of Saiha, India"
533,2021-10-16T01:46:25.233Z,24.3171,93.8462,45.78,4.0,"17 km E of Chur?ch?ndpur, India"
536,2021-10-12T00:31:54.076Z,30.405,94.6879,10.0,4.6,"210 km N of Shi Yomi, India"
537,2021-10-11T16:24:38.865Z,17.1543,77.0051,10.0,4.3,"7 km ENE of Sh?h?b?d, India"
539,2021-10-10T16:29:40.747Z,30.3872,94.7873,10.0,4.7,"209 km N of Shi Yomi, India"
541,2021-10-10T01:48:54.750Z,30.4182,94.8392,10.0,4.7,"214 km NNE of Shi Yomi, India"
542,2021-10-09T05:36:53.906Z,30.3972,94.8221,10.0,4.9,"211 km NNE of Shi Yomi, India"
548,2021-10-05T23:27:58.849Z,30.367,94.804,31.38,4.4,"207 km NNE of Shi Yomi, India"
549,2021-10-05T02:38:20.956Z,30.3349,94.7625,34.15,4.7,"203 km N of Shi Yomi, India"
550,2021-10-05T01:12:16.228Z,13.7634,93.7206,62.81,4.9,"252 km NNE of Bamboo Flat, India"
551,2021-10-04T04:48:00.517Z,30.3929,94.6529,34.32,3.9,"208 km N of Shi Yomi, India"
552,2021-10-04T03:24:23.509Z,30.3231,94.8038,35.16,4.8,"203 km NNE of Shi Yomi, India"
555,2021-10-02T05:36:42.142Z,30.3949,94.5447,34.42,4.1,"207 km N of Shi Yomi, India"
556,2021-10-02T04:45:25.042Z,30.351,94.8618,35.41,4.8,"207 km NNE of Shi Yomi, India"
